sep=,
Steam Sales data for Sauropod Studio: 2016-12-22 - 2017-01-21

Date,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,NL,Netherlands,Western Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-3.0611,14.5689,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,NO,Norway,Western Europe,1,0,1,140.00,119.00,NOK,13.6500,0.0000,0.0000,13.6500,
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,NZ,New Zealand,Oceania,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,PH,Philippines,South East Asia,1,0,1,499.95,424.95,PHP,8.5400,0.0000,0.0000,8.5400,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,PL,Poland,Eastern Europe,4,2,2,19.99,16.99,EUR,70.8501,35.4000,-6.6352,28.8149,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,PT,Portugal,Western Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.3129,14.3871,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,RU,Russian Federation,Russian Territories,12,4,8,419.00,356.00,RUB,69.8026,23.2400,0.0000,46.5626,
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,SE,Sweden,Western Europe,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,SE,Sweden,Western Europe,4,3,1,19.99,16.99,EUR,70.7300,53.1000,-3.5281,14.1019,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,SK,Slovakia (Slovak Republic),Eastern Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-2.9366,14.6934,
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,TR,Turkey,Middle East,1,0,1,31.00,26.35,TRY,7.5100,0.0000,0.0000,7.5100,
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,UA,Ukraine,Russian Territories,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Humble Bundle
2016-12-25,26276,Castle Story,Retail,Castle Story,Windows,US,United States,North America,1,0,1,0.00,0.00,USD,0.0000,0.0000,0.0000,0.0000,Kickstarter
2016-12-25,26276,Castle Story,Steam,Castle Story,Windows,US,United States,North America,55,3,52,19.99,16.99,USD,937.6300,50.9700,-3.1800,883.4800,
2016-12-25,26276,Castle Story,Steam,Castle Story,Mac,FI,Finland,Western Europe,1,1,0,19.99,16.99,EUR,17.7000,17.7000,0.0000,0.0000,
2016-12-25,26276,Castle Story,Steam,Castle Story,Mac,GB,United Kingdom,Western Europe,1,0,1,14.99,12.74,GBP,15.5727,0.0000,-2.5914,12.9813,
2016-12-25,26276,Castle Story,Steam,Castle Story,Mac,NO,Norway,Western Europe,1,0,1,140.00,119.00,NOK,13.6800,0.0000,0.0000,13.6800,
2016-12-25,26276,Castle Story,Steam,Castle Story,Mac,US,United States,North America,6,0,6,19.99,16.99,USD,103.0000,0.0000,-1.0600,101.9400,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,AU,Australia,Oceania,3,0,3,19.99,16.99,USD,50.9700,0.0000,0.0000,50.9700,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,BR,Brazil,Latin America,4,0,4,36.99,31.44,BRL,38.5568,0.0000,0.0000,38.5568,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,CA,Canada,North America,10,1,9,21.99,18.69,CAD,138.1511,13.8200,0.0000,124.3311,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,CN,China,Asia,1,0,1,68.00,57.00,CNY,8.2300,0.0000,0.0000,8.2300,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,CZ,Czech Republic,Eastern Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-3.0611,14.5689,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,DE,Germany,Western Europe,10,1,9,19.99,16.99,EUR,177.0781,17.6999,-25.4215,133.9567,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,DK,Denmark,Western Europe,5,1,4,19.99,16.99,EUR,88.6200,17.7000,-14.1924,56.7276,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,ES,Spain,Western Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-3.0611,14.5689,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,FR,France,Western Europe,6,0,6,19.99,16.99,EUR,106.2000,0.0000,-17.6898,88.5102,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,GB,United Kingdom,Western Europe,8,0,8,14.99,12.74,GBP,124.8888,0.0000,-20.7820,104.1068,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,LT,Lithuania,Eastern Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.0733,14.6267,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,MX,Mexico,Latin America,2,0,2,179.99,152.99,MXN,14.5208,0.0000,0.0000,14.5208,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,NL,Netherlands,Western Europe,1,0,1,19.99,16.99,EUR,17.6300,0.0000,-3.0611,14.5689,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,PL,Poland,Eastern Europe,5,0,5,19.99,16.99,EUR,88.5500,0.0000,-16.5739,71.9761,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,PT,Portugal,Western Europe,1,0,1,19.99,16.99,EUR,17.7000,0.0000,-3.3129,14.3871,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,RU,Russian Federation,Russian Territories,8,2,6,419.00,356.00,RUB,46.6962,11.6200,0.0000,35.0762,
2016-12-26,26276,Castle Story,Steam,Castle Story,Windows,SE,Sweden,Western Europe,6,0,6,19.99,16.99,EUR,106.1860,0.0000,-21.2498,84.9362,
